"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,31,29,27,28,26,23,29,25,25,28,27,28,26,27,27,26,29,27,25,25,26,27,26
"2",21,15,14,16,15,11,13,13,22,17,18,22,26,14,26,19,17,14,18,16,14,14,15,17,17,17,16,17,19,14,-1,16,17,17,15,17,17,19,18,18,21,18,18,19
"3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,22,20,20,21,24,22,21,25,24,23,20,20,21,21,20
"4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,40,-1,34,37,37,37,27,31,-1,-1,34,36,37,35,35,35,37,39,38,37,36,35,35,36,35
"5",12,11,18,13,13,12,17,21,16,23,21,29,19,26,21,19,18,11,13,17,15,15,31,15,21,26,15,19,19,22,-1,17,27,19,19,30,28,29,19,34,19,21,25,24
"6",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,34,33,29,29,28,29,29,33,30,30,28,28,30,31,31
"7",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,38,-1,33,36,34,31,29,28,31,31,32,34,34,33,32,32,35,35,37,36,34,33,34,35,34
"8",21,15,18,16,15,12,17,21,22,17,18,29,26,26,26,19,18,14,18,17,15,15,31,28,21,26,16,19,19,22,19,17,27,19,19,30,28,19,19,21,21,19,21,20
"9",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,26,28,26,27,27,29,27,27,28,28,26,26,28,27,27
