"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,26,22,20,19,13,10,16,12,12,15,14,15,13,14,14,13,16,14,13,12,13,14,13
"2",18,14,12,14,12,10,13,12,19,13,16,19,21,11,23,18,16,11,18,14,12,10,13,13,13,13,13,14,18,11,-1,14,13,14,15,17,14,16,15,15,21,17,17,18
"3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,20,11,11,12,15,12,12,16,15,14,11,11,15,12,11
"4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,30,-1,28,25,28,28,14,18,-1,-1,21,22,23,22,22,22,23,26,24,24,23,22,22,23,21
"5",12,10,18,11,11,12,14,20,13,18,19,26,19,22,17,18,18,8,10,15,15,13,28,12,19,24,11,16,19,20,-1,16,23,16,17,28,25,29,16,31,19,21,24,23
"6",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,25,23,20,20,19,19,20,24,21,21,19,18,24,22,22
"7",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,34,-1,28,30,26,23,19,17,19,21,21,27,23,22,21,28,25,26,31,25,25,24,28,27,24
"8",21,14,18,14,13,12,17,20,19,13,16,26,26,23,23,18,17,11,18,15,15,15,29,25,21,23,13,19,18,20,18,16,23,16,19,28,28,19,16,21,21,19,20,19
"9",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,22,23,20,22,23,22,23,23,24,24,21,22,23,23,23
