"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"24",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03243217,-1,-1,0.01277647,0.02242431,0.004857526,0,0.004776183,0.004433295,0.007189232,0.005104383,0.008892164,0.01837917,0.02204141,0.02011321,0.01323862,0.01127823,0.02140293,0.01009862,0.03419885,0.02389866,0.01301085,0.009195467,0.01535661,0.01415978,0.01613828
"25",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.001673603,-1,-1,0.01488218,0.01731746,0.00789069,0.02230528,0.005702055,0.0007837433,0.004130553,0.004590525,0.003359302,0.01551374,0.01667612,0.0108894,0.006419294,0.01119012,0.01112763,0.005473173,0.02723682,0.01768131,0.009516018,0.004589277,0.008729067,0.008869069,0.006300544
"26",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007291657,-1,-1,0.003352628,0.01521815,0.005440595,0.01684776,0.006082072,0.001567487,0.001201696,0.003900514,0.002622648,0.01345078,0.008640689,0.008711361,0.005572584,0.01160524,0.006280841,0.003828726,0.01790625,0.01117123,0.004380347,0.003855606,0.006072177,0.004777676,0.006346451
"27",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01094077,-1,-1,0.007498351,0.0210673,0.02795604,0,0.001903075,0.0004354129,0.002410974,0.001198844,0.001772974,0.009555954,0.004991927,0.004870901,0.00336971,0.002790919,0.0060506,0.003628959,0.007148021,0.00481849,0.002928805,0.001933555,0.002503224,0.006080924,0.003333107
"28",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01029546,-1,-1,0.005027525,0.01135582,0.005440595,0.005643357,0.001903075,0,0.001070573,0.0009219686,0.001760148,0.005697048,0.003676212,0.004846281,0.00194581,0.006620222,0.004489302,0.001967519,0.005187087,0.002327447,0.0007147087,0.001910066,0.002110089,0.001358128,0.002804299
"29",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00752793,-1,-1,0.0143343,0.008345747,0,0,0,0,0.002902068,0.0003027935,0.0003464419,0.002633119,0.001157399,0.003181416,0.001227124,0,0.0008783418,0.001349533,0.005284803,0.001511642,0.0008948873,0.0002351324,0.0005112022,0.001881432,0.0003004606
"30",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.001739234,-1,-1,0.003533718,0.004111348,0,0,0,0.0008391595,0.003015833,0,0.0004769431,0.001302121,0.000397196,0.00159502,0.0009407082,0.001041739,0,0.0008899405,0.002850048,0.0009842024,0.0002204116,0.0002443533,0.0003940876,0.0005863282,0.0006152289
"31",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004968303,-1,-1,0.007166693,0.002714027,0,0,0,0,0.001810346,0.0008913921,0.0003464419,0.0004422208,0.001352766,0.0007200928,0,0.001041739,0.001763655,0.0008899405,0.001156305,0.0002456237,0.0004427468,0,0.0003254265,0,0
"32",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.002425963,0.001007683,0,0,0.001903075,0,0.001205487,0.0007079328,0,0.0007270957,0.0004016093,0.0003449546,0.0003056734,0.0005182781,0,0,0.00111559,0.0002652735,0,0.0004748752,0.0002015221,0,0.0003076144
"33",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0.005643357,0,0,0.001205487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003096801,0,0
