"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,6,8,8,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14
"2",4,2,3,3,4,2,1,2,4,5,3,4,6,4,4,2,2,4,1,3,3,5,3,5,5,5,4,4,2,4,-1,3,5,4,1,1,4,4,4,4,1,2,2,2
"3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,3,10,10,10,10,11,10,10,10,10,10,10,7,10,10
"4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,11,-1,7,13,10,10,14,14,-1,-1,14,15,15,14,14,14,15,14,15,14,14,14,14,14,15
"5",1,2,1,3,3,1,4,2,4,6,3,4,1,5,5,2,1,4,4,3,1,3,4,4,3,3,5,4,1,3,-1,2,5,4,3,3,4,1,4,4,1,1,2,2
"6",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,10,11,10,10,10,11,10,10,10,10,10,11,7,10,10
"7",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,-1,6,7,9,9,11,12,13,11,12,8,12,12,12,5,11,10,7,12,10,10,7,9,11
"8",1,2,1,3,3,1,1,2,4,5,3,4,1,4,4,2,2,4,1,3,1,1,3,4,1,4,4,1,2,3,2,2,5,4,1,3,1,1,4,1,1,1,2,2
"9",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,6,7,6,5,8,5,5,5,5,6,5,6,5,5
